Age,Conference,Date,Draft Year,Height,Player,Position,Season short,Seasons in league,Team,Weight,Real_value
29,All,1995-04-02,1987,216.0,David Robinson,C,1995,5,San Antonio Spurs,113.0,1.0
27,All,1995-03-26,1989,216.0,Vlade Divac,C,1995,5,Los Angeles Lakers,118.0,1.0
21,All,1995-03-19,1994,193.0,Jason Kidd,PG,1995,0,Dallas Mavericks,95.0,1.0
28,All,1995-03-12,1988,224.0,Rik Smits,C,1995,6,Indiana Pacers,113.0,1.0
22,All,1995-03-05,1992,216.0,Shaquille O'Neal,C,1995,2,Orlando Magic,147.0,1.0
28,All,1995-02-26,1988,190.0,Rod Strickland,PG,1995,6,Portland Trail Blazers,79.0,1.0
32,All,1995-02-19,1984,198.0,Charles Barkley,PF,1995,10,Phoenix Suns,114.0,1.0
32,All,1995-02-05,1984,213.0,Hakeem Olajuwon,C,1995,10,Houston Rockets,116.0,1.0
32,All,1995-01-29,1984,185.0,John Stockton,PG,1995,10,Utah Jazz,77.0,1.0
32,All,1995-01-22,1985,213.0,Patrick Ewing,C,1995,9,New York Knicks,109.0,1.0
25,All,1995-01-15,1991,198.0,Larry Johnson,F,1995,3,Charlotte Hornets,113.0,1.0
26,All,1995-01-08,1990,193.0,Gary Payton,G,1995,4,Seattle SuperSonics,82.0,1.0
32,All,1995-01-01,1984,213.0,Hakeem Olajuwon,C,1995,10,Houston Rockets,116.0,1.0
25,All,1994-12-25,1990,198.0,Cedric Ceballos,SF,1995,4,Los Angeles Lakers,86.0,1.0
31,All,1994-12-18,1985,206.0,Karl Malone,PF,1995,9,Utah Jazz,120.0,1.0
22,All,1994-12-11,1993,203.0,Jamal Mashburn,SF,1995,1,Dallas Mavericks,112.0,1.0
22,All,1994-12-04,1992,216.0,Shaquille O'Neal,C,1995,2,Orlando Magic,147.0,1.0
23,All,1994-11-27,1993,201.0,Penny Hardaway,PG,1995,1,Orlando Magic,88.0,1.0
25,All,1994-11-20,1991,183.0,Elliot Perry,PG,1995,3,Phoenix Suns,68.0,1.0
28,All,1994-11-13,1989,183.0,Tim Hardaway,PG,1995,5,Golden State Warriors,79.0,1.0
27,All,1996-04-21,1990,203.0,Dennis Scott,SF,1996,5,Orlando Magic,104.0,1.0
23,All,1996-04-14,1994,206.0,Juwan Howard,PF,1996,1,Washington Bullets,109.0,1.0
29,All,1996-04-07,1987,185.0,Kevin Johnson,PG,1996,8,Phoenix Suns,82.0,1.0
31,All,1996-03-31,1985,221.0,Arvydas Sabonis,C,1996,0,Portland Trail Blazers,127.0,1.0
28,All,1996-03-24,1991,208.0,Chris Gatling,PF,1996,4,Miami Heat,100.0,1.0
23,All,1996-03-17,1994,203.0,Grant Hill,SF,1996,1,Detroit Pistons,102.0,1.0
33,All,1996-03-10,1984,198.0,Michael Jordan,SG,1996,10,Chicago Bulls,98.0,1.0
23,All,1996-03-03,1992,216.0,Shaquille O'Neal,C,1996,3,Orlando Magic,147.0,1.0
33,All,1996-03-03,1984,213.0,Hakeem Olajuwon,C,1996,11,Houston Rockets,116.0,1.0
26,All,1996-02-25,1989,208.0,Shawn Kemp,C,1996,6,Seattle SuperSonics,127.0,1.0
31,All,1996-02-18,1987,206.0,Armen Gilliam,PF,1996,8,New Jersey Nets,104.0,1.0
